Year,Mo,Dy,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
2000,1,3,INDIA,INDIA-BANGLADESH BORDER:  MAHESHKHALI,22.132,92.771,33,4.6,,,,,,100
2000,1,11,CHINA,CHINA:  LIAONING PROVINCE,40.498,122.994,10,5.1,,,30,,3600,8800
2000,1,14,CHINA,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,33,5.9,7,,2528,73.5,41000,
2000,2,2,IRAN,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,33,5.3,1,,15,,100,300
2000,2,7,SOUTH AFRICA,SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI,-26.288,30.888,5,4.5,,,1,,,
2000,3,28,JAPAN,JAPAN:  VOLCANO ISLANDS,22.338,143.73,127,7.6,,,,,,
2000,4,5,GREECE,GREECE:  CRETE,34.22,25.69,38,5.5,,,,,,
2000,5,4,INDONESIA,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26,7.6,54,,264,30,23000,
2000,5,7,TURKEY,"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,5,4.1,,,1,,,200
2000,5,17,TAIWAN,TAIWAN:  TAI-CHUNG COUNTY,24.223,121.058,10,5.4,3,,13,,,
2000,6,4,INDONESIA,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,33,7.9,103,,2174,6,,
2000,6,6,TURKEY,"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,10,6,2,,80,,,4600
2000,6,7,CHINA,CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR,26.856,97.238,33,6.3,,,,,,
2000,6,7,INDONESIA,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,33,6.7,1,,,,,600
2000,6,10,TAIWAN,TAIWAN:  NAN-TOU,23.843,121.225,33,6.4,2,,36,,,
2000,6,17,ICELAND,"ICELAND:  VESTMANNAEYJAR, HELLA",63.966,-20.487,10,6.5,,,1,20,11,19
2000,6,18,AUSTRALIA,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,10,7.9,,,,,,
2000,6,21,ICELAND,"ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI",63.98,-20.758,10,6.5,,,,12,12,
2000,7,1,JAPAN,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,10,6.1,1,,,,,
2000,7,6,NICARAGUA,NICARAGUA:  MASAYA,11.884,-85.988,33,5.4,7,,42,,357,1130
2000,7,12,INDONESIA,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,33,5.4,,,6,,,225
2000,7,15,JAPAN,JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,10,6.1,,,10,,,20
2000,7,16,PHILIPPINES,"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",20.253,122.043,33,6.4,,,6,,,
2000,7,30,JAPAN,JAPAN:  HONSHU:  S,33.901,139.376,10,6.5,,,1,,,
2000,8,4,RUSSIA,"RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV",48.786,142.246,10,6.8,,,8,0.92,,1390
2000,8,21,CHINA,CHINA:  YUNNAN PROVINCE:  WUDING,25.826,102.194,33,4.2,1,,406,43,,
2000,9,3,USA,CALIFORNIA:  NAPA,38.379,-122.413,10,5,,,41,50,,
2000,10,2,TANZANIA,"TANZANIA:  NKANSI, RUKWA",-7.977,30.709,34,6.5,,,6,,7,150
2000,10,6,JAPAN,"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,10,6.7,,,130,150,104,2230
2000,10,30,AFGHANISTAN,AFGHANISTAN-TAJIKISTAN:  RAKHOR,37.542,69.582,33,5.1,,,,,,800
2000,11,8,PANAMA,PANAMA-COLOMBIA:  JURADO,7.042,-77.829,17,6.5,,,2,,,86
2000,11,16,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK",-4.001,152.327,17,8,2,,,,,
2000,11,16,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  NEW IRELAND, NEW BRITAIN",-5.233,153.102,30,7.8,,,,,,
2000,11,17,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN,-5.496,151.781,33,7.8,,,,,,
2000,11,25,AZERBAIJAN,AZERBAIJAN:  BAKU,40.245,49.946,50,6.8,31,,430,,,
2000,12,6,TURKMENISTAN,TURKMENISTAN:  NEBITDAG-TURKMENBASHI,39.566,54.799,30,7,11,,,,,
2000,12,15,TURKEY,TURKEY:  AFYON-BOLVADIN,38.457,31.351,10,6,6,,41,,,
2001,1,1,PHILIPPINES,PHILIPPINES:  MINDANAO,6.898,126.579,33,7.5,,,,,,
2001,1,13,EL SALVADOR,EL SALVADOR; GUATEMALA,13.049,-88.66,60,7.7,844,,4723,753,108226,169632
2001,1,26,INDIA,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",23.388,70.326,17,7.6,20005,,166836,2623,339000,
2001,2,13,EL SALVADOR,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,10,6.6,315,,3399,348.5,41302,15706
2001,2,19,LAOS,LAOS;  VIETNAM: DIENBIEN PHU,21.396,102.715,10,4.9,,,4,,,2174
2001,2,23,CHINA,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",29.513,101.129,33,5.6,3,,109,,60000,
2001,2,28,USA,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,52,6.8,1,,400,2000,,
2001,3,24,JAPAN,"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",34.083,132.526,50,6.8,2,,161,500,,3700
