Year,Mo,Dy,Earthquake Magnitude,Vol,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
2000,1,26,,,PHILIPPINES,"TAWI-TAWI, PHILIPPINES",5.1,120.15,20,4,,,,,,,,300,
2000,4,5,5.5,,GREECE,CRETE,34.22,25.69,0.5,1,,,,,,,,,
2000,5,4,7.6,,INDONESIA,SULAWESI,-1.105,123.573,6,2,,,,54,,264,30,23000,
2000,6,18,7.9,,AUSTRALIA,SOUTH INDIAN OCEAN,-13.802,97.453,0.3,1,,,,,,,,,
2000,7,1,6.1,5104,JAPAN,"KOZU-SHIMA ISLAND, HONSHU",34.221,139.131,0.07,4,,,,1,,,,,
2000,7,8,,,RUSSIA,KERCH STRAIT,45.12,36.7,0.5,1,,,-1,,,,,,
2000,7,15,6.1,,JAPAN,HONSHU: S COAST,34.319,139.26,0.07,1,,,,,,10,,,20
2000,7,30,6.5,,JAPAN,HONSHU: S COAST,33.901,139.376,0.14,1,,,,,,1,,,
2000,11,4,,,USA,"POINT ARGUELLO, S. CALIFORNIA",34.5,-120.65,4.6,1,,,,,,,,,
2000,11,16,8,,PAPUA NEW GUINEA,BISMARCK SEA,-4.001,152.327,3,9,,,,2,,,,,
2000,11,21,,,GREENLAND,"PAATUUT, GREENLAND",70.25,-52.75,50,4,,,,,,,,,
2001,1,13,7.7,,EL SALVADOR,EL SALVADOR,13.049,-88.66,0.25,1,,,,844,,4723,753,108226,169632
2001,6,23,8.4,,PERU,S. PERU,-16.265,-73.641,8.8,152,,,,103,138,2713,200,25399,
2001,10,12,6.1,,CANADA,QUEEN CHARLOTTE ISLANDS,52.63,-132.2,0.11,4,,,,,,,,,
2001,12,18,6.8,,TAIWAN,TAIWAN,23.954,122.734,0.16,6,,,,,,,,,
2002,1,2,7.2,,VANUATU,VANUATU ISLANDS,-17.6,167.856,3,2,,-4.64,-4.14,,,,,,
2002,3,5,7.5,,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.033,124.249,3,3,,,,15,,100,1.714,,800
2002,3,24,,,GREECE,DODECANESE ISLANDS,36.45,28.2,4,1,,,,,,,,,
2002,3,26,6.4,,JAPAN,JAPAN,23.346,124.09,0.05,3,,,,,,,,,
2002,3,31,7.1,,TAIWAN,TAIWAN,24.279,122.179,0.2,11,,,,5,,200,,100,
2002,9,8,7.6,,PAPUA NEW GUINEA,BISMARCK SEA,-3.26,142.94,5.5,88,,0.58,1.08,4,,70,,,873
2002,9,13,6.5,,INDIA,"ANDAMAN ISLANDS, INDIA",13.036,93.068,,4,,,,2,,,,40,
2002,10,10,7.6,,INDONESIA,IRIAN JAYA,-1.757,134.297,5,3,,2.32,2.82,8,,632,,1000,900
2002,11,4,,,NEW ZEALAND,ALBERT TOWN,-44.7,169.2,,1,,,,,,,,,
2002,12,30,,4703,ITALY,STROMBOLI ISLAND,38.789,15.213,10.9,41,,,5,,,,,,
2003,1,20,7.3,,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.491,160.77,2,2,,,,,,,,,
2003,1,22,7.5,,MEXICO,S. MEXICO,18.77,-104.104,0.61,6,,,0.5,29,,300,,2005,6615
2003,5,21,6.8,,ALGERIA,N. ALGERIA,36.964,3.634,3,39,,1,1.5,2287,800,11000,5000,19000,163000
2003,5,27,5.7,,ALGERIA,ALGIERS,36.939,3.578,0.08,2,,,,9,,200,,,
2003,7,4,,,USA,"WARREN DUNES, MICHIGAN",,,,0,,,,7,,,,,
2003,7,12,,4542,MONTSERRAT,SOUFRIERE HILLS VOLCANO,16.722,-62.18,4,5,,,,,,,,,
2003,7,14,,,CHINA,"QINGGAN RIVER, HUBEI PROVINCE",30.97,110.605,39,1,,,,,11,,,,
2003,8,4,7.6,,ANTARCTICA,SCOTIA SEA,-60.532,-43.411,,1,,,,,,,,,
2003,8,14,6.3,,GREECE,IONIAN SEA,39.16,20.605,0.5,1,,,,,,50,,,
2003,8,21,7.2,,NEW ZEALAND,SOUTH ISLAND,-45.104,167.144,4,3,,,,,,,,,
2003,9,25,8.3,,JAPAN,HOKKAIDO ISLAND,41.815,143.91,4.4,268,,,,2,,849,90,,
2003,10,31,7,,JAPAN,E. HONSHU ISLAND,37.812,142.619,0.32,4,,,,,,,,,
2003,11,17,7.8,,USA,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.146,178.65,0.33,20,,,,,,,,,
2003,12,27,7.3,,NEW CALEDONIA,LOYALTY ISLANDS,-22.015,169.766,0.15,2,,,,,,,,,
2004,1,28,6.7,,INDONESIA,SERAM ISLAND,-3.12,127.4,,1,,,,,,,,,
2004,2,11,5.3,,JORDAN,DEAD SEA,31.675,35.551,1,1,,,,,,4,,,
2004,8,24,,,FRANCE,MARSEILLES,43.3,5.37,,1,,,,,,,,,
2004,9,5,7.2,,JAPAN,SOUTH COAST HONSHU ISLAND,33.07,136.618,0.63,12,,,,,,4,,,
