Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,
2000,6,27,2340,5568,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,1,,,,,
2000,7,27,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,,,,,
2000,8,23,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,2,,1,,,
2000,11,3,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,2,,,,,
2000,11,,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,,,,,
2001,5,14,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1,,,,,
2001,7,26,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,,,,
2001,8,5,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,,,,,
2001,10,20,,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,1,,,,,
2002,1,3,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,
2002,1,17,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,100,,,,,
2002,8,28,,5659,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,32,,,
2002,11,3,,,Reventador,Ecuador,Ecuador,-0.077,-77.656,3562,Stratovolcano,,,,,,
2002,12,30,2923,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2002,,,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,,,,,
2003,7,12,2694,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,,,,,,
2004,1,29,,,Egon,Lesser Sunda Is,Indonesia,-8.676,122.455,1661,Stratovolcano,1,,,,,
2004,6,8,,,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,,
2004,10,24,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,5,,,,,
2005,1,27,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,1,,14,,,
2005,10,1,,,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2381,Stratovolcano,2,,,,,
2005,11,24,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,,,,,
2006,1,1,5795,10555,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,
2006,3,17,,,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,1,,,,,
2006,5,20,2877,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,,,,,,
2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,1,,,,,
2006,6,14,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,,,,,
